,댓글
305,"@itsjustswings we respect you for coming to say this, if you didn't gave us this video and the dates the misunderstanding would be bigger now, we also as his fans respect your art like you respect him, it was a seriously big unlucky misunderstanding, sometimes happens in the art world, since both covers were almost identical I'm sure you understood his fans concerns too, thank you."
306,"Swings! I never comment on anything, but just wanted to say that I love your passion and energy. I’m in Michigan; not sure if it’ll ever be sold here, but I hope to get/read your book one day. 다른 사람들 지랄 해도 항상 힘내시고 행복 하세요."
307,"If you hate this man, just say you hate this man and move on. It’s baffling to me why folks always assume has bad intentions. You can genuinely questions the similarity without trying to defame his character"
308,"I really feel sorry for you sometimes. can't imagine how tired you are of ALL this sh*t happened... to be honest, I envy your endurance"
309,"as a ceo himself shouldn't he know about this matter more??? now ppl are saying the both his and mino's album look the same, doesnt he feel ashamed??? at this point i dont think ita coincidence anymore. put urself in mino's shoes, are u gonna be happy that someone else's album look literally like yours?"
310,"Things like this often happen in the creative industry!! Props to him for addressing the situation tho!!! I’m a fan of Mino, I hope other fans can stop attacking this guy 😅"
311,We know you and we believe you Swings. And you know people loves to talk bullshits even they don’t have any fucking idea of anything. They just love to talk and love to hurt people. Stay strong we got your back💪
312,can’t believe you have to deal with shit like this all thee time
313,스윙스 형 진짜 억울한 일 많이 생기네ㅜㅜ 그래도 좋게 보면 책이 더 홍보 됐다고도 생각해서 암튼 스윙스 형 화이팅입니다! 베스트 셀러 ㄲ
314,🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡
315,People really mad over orange with one word on it. 🤡
316,💙💙
317,Thank you so much for clearing up❤️ ❤️❤️Mino's fans need some chill tho💀
318,I’m sorry you’ve had to defend yourself.
319,💪🏻🧡
320,🇲🇽🇲🇽🇲🇽❤️❤️❤️
321,"I have been defending you all that. People just like to hate without thinking, like most people dont have a clue about how design and creative stuff works and just send hate without any reason or knowledge on the matter. Im sorry you had to clean this mess up"
322,"RESPECT. I don’t really think there is a need to explain to this extent, but you did what you felt that you needed to do 👍🏻 To be honest, when a simple design is opted for, there’s only that much that can be worked with. Also, planning takes time anyway. 신경 쓰지마시고 책 발매 축하드려요!!!"
323,king❤️
324,@leealsgur @pisc2sy 윙스 영어에 치인다 캬아ㅏ 〰️〰️〰️〰️〰️
325,I mean...the design isn't exactly unique. A bold title on a plain colored background. Thats not really special. I think people over blow the silliest things.
326,"I've been defending you too. What's wrong with people? How do they do that to you? I'm very angry. They don't leave you alone.
God, live and let live."
327,I respect you very much so I hope that everything will end well for you🤞🏻
328,I support you ✊🏼
329,Thank you for explaining the situation in English!
330,"This situation is common. When you're working on sth, there's always a risk someone's doing the same thing right at this time"
331,I just wish you all the best swings 🤞🏼💜
332,Wish to read your book in English 😱
333,Swings the best!🔥❤️❤️❤️
334,Best ❤️
335,사람들이 시비거는 상황에 너무 스트레스 받지 마시길. 사람들이 요상한 걸로 딴지걸고싶은만큼 형이 대단한 사람이고 크게 성공한 사람인거를 인정한다는 뜻으로 긍정적인 생각하셨으면 좋겠습니다. 형이 더 잘아시잖아요 음악으로도 표절시비걸리고 사재기시비걸리는 사람들보면 음악으로 히트치고 성공한 사람들이 훨씬 많은거
336,King ❤️
337,You're the best 🔥🔥
338,"It's alright don't sweat it. Just keep doing you. There's always going to be someone voicing their opinions, but opinions don't pay the bills so....💯🙏 @itsjustswings"
339,It's a long story... but you're talking to good!!
340,송민호는 책 않썼잖아요~ you’re the Winner👍👍👍
341,스윙스 가 왜 ? 굳이 ? 개떡같은 짓들 하고 자빠졌네 증말
