,댓글,출처
40018,@rudolphim,./data\유머 짤.csv
40019,@my.sunnny.world 😂😂😂,./data\유머 짤.csv
40020,@byeol.ian,./data\유머 짤.csv
40021,@gardeni0616 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그렇지 않았다,./data\유머 짤.csv
40022,@earthquake_ms 미츈 개웃겨 ㅋㅋㅋ ㅠㅠㅠㅠㅠㅠㅠ,./data\유머 짤.csv
40023,@dongryeolh,./data\유머 짤.csv
40024,@rrrrrr_ani 아빠는달생겻댜,./data\유머 짤.csv
40025,@s_zoo0918,./data\유머 짤.csv
40026,@eu_ssunny @hanbitvely ㅋㅋㅋ,./data\유머 짤.csv
40027,@kim_karochegi,./data\유머 짤.csv
40028,@wndud9848,./data\유머 짤.csv
40029,@hyeon_jun96,./data\유머 짤.csv
40030,@azru.kr @mark_tub,./data\유머 짤.csv
40031,@rlawlsrudd,./data\유머 짤.csv
40032,@august._.12th 꼭 끝까지봐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아너무귀엽고 웃기다,./data\유머 짤.csv
40033,@b__hun98 ㅋㅋㅋㅋㅋㅋㅋㅋ,./data\유머 짤.csv
40034,@ing_ang,./data\유머 짤.csv
40035,@dazzzzv 아애기진짜기엽다,./data\유머 짤.csv
40036,@coo.___.ing @d_dhye @j_bok__1006,./data\유머 짤.csv
40037,@l.o.3.0 ㅠㅜ 끝까지 봐바ㅠㅠ ㅈㄴ 귀엽다 미친,./data\유머 짤.csv
